Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,AG_PRD_FIESMS,,PT,2020,14.0
2016,A,0,AG_PRD_FIESMS,,PT,2020,21.0
2017,A,0,AG_PRD_FIESMS,,PT,2020,22.1
2018,A,0,AG_PRD_FIESMS,,PT,2020,15.6
2019,A,0,AG_PRD_FIESMS,,PT,2020,15.06
2020,A,0,AG_PRD_FIESMS,,PT,2020,25.0
