Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,VC_PRS_UNSNT,,PT,2021,0.421
2017,A,0,VC_PRS_UNSNT,,PT,2021,0.416
2018,A,0,VC_PRS_UNSNT,,PT,2021,0.43
2019,A,0,VC_PRS_UNSNT,,PT,2021,0.408
2020,A,0,VC_PRS_UNSNT,,PT,2021,0.4496
2021,A,0,VC_PRS_UNSNT,,PT,2021,0.4559
