Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SL_EMP_GTOTL,,PT,2019,38.0
2016,A,0,SL_EMP_GTOTL,,PT,2019,37.8
2017,A,0,SL_EMP_GTOTL,,PT,2019,40.0
2018,A,0,SL_EMP_GTOTL,,PT,2019,41.5
2019,A,0,SL_EMP_GTOTL,,PT,2019,40.3
