Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SL_TLF_UEM,,Y_GE15,PT,2021,15.7
2016,A,0,SL_TLF_UEM,,Y_GE15,PT,2021,16.8
2017,A,0,SL_TLF_UEM,,Y_GE15,PT,2021,15.9
2018,A,0,SL_TLF_UEM,,Y_GE15,PT,2021,15.5
2019,A,0,SL_TLF_UEM,,Y_GE15,PT,2021,15.2
2020,A,0,SL_TLF_UEM,,Y_GE15,PT,2021,22.3
2021,A,0,SL_TLF_UEM,,Y_GE15,PT,2021,23.6
