Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,AG_LND_FRST,,PT,2020,0.4294
2016,A,0,AG_LND_FRST,,PT,2020,0.4274
2017,A,0,AG_LND_FRST,,PT,2020,0.4253
2018,A,0,AG_LND_FRST,,PT,2020,0.4232
2019,A,0,AG_LND_FRST,,PT,2020,0.4211
2020,A,0,AG_LND_FRST,,PT,2020,0.4191
