Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2016,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,2021,0.421
2017,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,2021,0.416
2018,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,2021,0.43
2019,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,2021,0.408
2020,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,2021,0.4496
2021,Normal value,Units,Unsentenced detainees as a proportion of overall prison population [16.3.2],,Percent,2021,0.4559
