Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Billions,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,116.5
2016,Normal value,Billions,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,126.4
2017,Normal value,Billions,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,131.3
2018,Normal value,Billions,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,140.4
2019,Normal value,Billions,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,152.0
2020,Normal value,Billions,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,139.6
2021,Normal value,Billions,VA of the fishing and aquaculture sub-sector (billions of FCFA),,Franc CFA FCFA,2021,135.1
