Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Foreign direct investment (FDI) inflows [17.3.1],,Franc CFA FCFA,2020,231.73
2016,Normal value,Units,Foreign direct investment (FDI) inflows [17.3.1],,Franc CFA FCFA,2020,249.45
2017,Normal value,Units,Foreign direct investment (FDI) inflows [17.3.1],,Franc CFA FCFA,2020,342.23
2018,Normal value,Units,Foreign direct investment (FDI) inflows [17.3.1],,Franc CFA FCFA,2020,471.23
2019,Normal value,Units,Foreign direct investment (FDI) inflows [17.3.1],,Franc CFA FCFA,2020,576.0
2020,Normal value,Units,Foreign direct investment (FDI) inflows [17.3.1],,Franc CFA FCFA,2020,840.1
