Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4294
2016,Normal value,Units,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4274
2017,Normal value,Units,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4253
2018,Normal value,Units,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4232
2019,Normal value,Units,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4211
2020,Normal value,Units,Forest area as a proportion of total land area [15.1.1],,Percent,2020,0.4191
