Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,EG_ACS_ELEC,,,PT,2021,62.0
2016,A,0,EG_ACS_ELEC,,,PT,2021,64.0
2017,A,0,EG_ACS_ELEC,,,PT,2021,67.88
2018,A,0,EG_ACS_ELEC,,,PT,2021,69.6
2019,A,0,EG_ACS_ELEC,,,PT,2021,76.0
2020,A,0,EG_ACS_ELEC,,,PT,2021,80.0
2021,A,0,EG_ACS_ELEC,,,PT,2021,82.0
2018,A,0,EG_ACS_ELEC,,U,PT,2019,92.8
2019,A,0,EG_ACS_ELEC,,U,PT,2019,94.0
