Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,9,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,116.5
2016,A,9,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,126.4
2017,A,9,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,131.3
2018,A,9,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,140.4
2019,A,9,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,152.0
2020,A,9,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,139.6
2021,A,9,VA du sous-secteur de la pêche et de l’aquaculture (milliards de FCFA),,franc cfa FCFA,2021,135.1
