Year,Observation status,Unit multiplier,SERIES,Reference area,Education level,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,16.7
2016,Normal value,Units,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.2
2017,Normal value,Units,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.4
2018,Normal value,Units,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.8
2019,Normal value,Units,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.6
2020,Normal value,Units,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.7
2021,Normal value,Units,Gross enrolment ratio in pre-primary education,,Pre-primary education,Percent,2021,17.7
