Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Part des énergies renouvelables dans la puissance installée,,PT,2021,8.5
2016,A,0,Part des énergies renouvelables dans la puissance installée,,PT,2021,12.5
2017,A,0,Part des énergies renouvelables dans la puissance installée,,PT,2021,17.29
2018,A,0,Part des énergies renouvelables dans la puissance installée,,PT,2021,17.45
2019,A,0,Part des énergies renouvelables dans la puissance installée,,PT,2021,20.630000000000003
2020,A,0,Part des énergies renouvelables dans la puissance installée,,PT,2021,26.88
2021,A,0,Part des énergies renouvelables dans la puissance installée,,PT,2021,28.4
