Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,SH_STA_WAST,,Y0T4,PT,2019,15.5
2016,A,0,SH_STA_WAST,,Y0T4,PT,2019,13.5
2017,A,0,SH_STA_WAST,,Y0T4,PT,2019,14.4
2018,A,0,SH_STA_WAST,,Y0T4,PT,2019,15.1
2019,A,0,SH_STA_WAST,,Y0T4,PT,2019,14.4
