Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2017,A,0,VC_HTF_DETVR,,PER_100000_POP,2020,68
2018,A,0,VC_HTF_DETVR,,PER_100000_POP,2020,124
2019,A,0,VC_HTF_DETVR,,PER_100000_POP,2020,448
2020,A,0,VC_HTF_DETVR,,PER_100000_POP,2020,476
