Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,34
2016,A,0,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,37
2017,A,0,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,39
2018,A,0,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,39
2019,A,0,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,42
2020,A,0,Nombre de documents de planification urbaine approuvés,,NUMBER,2020,80
