Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,EG_EGY_RNEW,,W_PER_CAPITA,2021,886.0
2016,A,0,EG_EGY_RNEW,,W_PER_CAPITA,2021,951.5
2017,A,0,EG_EGY_RNEW,,W_PER_CAPITA,2021,1024.68
2018,A,0,EG_EGY_RNEW,,W_PER_CAPITA,2021,1249.29
2019,A,0,EG_EGY_RNEW,,W_PER_CAPITA,2021,1435.99
2020,A,0,EG_EGY_RNEW,,W_PER_CAPITA,2021,1499.04
2021,A,0,EG_EGY_RNEW,,W_PER_CAPITA,2021,1616.4
