From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,TIME_DETAIL
TIME_DETAIL,SEX
COMPOSITE_BREAKDOWN,AGE
TIME_DETAIL,COMPOSITE_BREAKDOWN
