Indicator
#1-1-1
#1-2-1
#10-4-1
#10-4-2
#11-6-1
#14-5-1
#15-1-1
#15-5-1
#2-1-1
#2-1-2
#2-2-1
#2-2-2
#2-a-1
#2-a-2
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-2
#3-3-3
#3-6-1
#3-7-1
#3-7-2
#3-b-1
#4-1-2
#4-2-1
#4-5-1
#4-a-1
#4-c-1
#5-5-1
#7-1-1
#7-3-1
#8-1-1
#8-2-1
#8-3-1
#8-5-2
#9-2-1
#9-2-2
#9-c-1
