Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,EG_EGY_PRIM,,tonne of oil equivalent (toe) / billion,2020,0.26
2016,A,0,EG_EGY_PRIM,,tonne of oil equivalent (toe) / billion,2020,0.28
2017,A,0,EG_EGY_PRIM,,tonne of oil equivalent (toe) / billion,2020,0.21
2018,A,0,EG_EGY_PRIM,,tonne of oil equivalent (toe) / billion,2020,0.21
2019,A,0,EG_EGY_PRIM,,tonne of oil equivalent (toe) / billion,2020,0.22
2020,A,0,EG_EGY_PRIM,,tonne of oil equivalent (toe) / billion,2020,0.22
