Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Taux brut de préscolarisation,,ISCED11_02,PT,2021,16.7
2016,A,0,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.2
2017,A,0,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.4
2018,A,0,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.8
2019,A,0,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.6
2020,A,0,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.7
2021,A,0,Taux brut de préscolarisation,,ISCED11_02,PT,2021,17.7
