Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Nombre d’unités d’habitation,,NUMBER,2020,12560
2016,A,0,Nombre d’unités d’habitation,,NUMBER,2020,10008
2017,A,0,Nombre d’unités d’habitation,,NUMBER,2020,6179
2018,A,0,Nombre d’unités d’habitation,,NUMBER,2020,4742
2019,A,0,Nombre d’unités d’habitation,,NUMBER,2020,8861
2020,A,0,Nombre d’unités d’habitation,,NUMBER,2020,6626
