Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,EN_REF_WASCOL,,CITY,PT,2020,70.0
2016,A,0,EN_REF_WASCOL,,CITY,PT,2020,73.0
2017,A,0,EN_REF_WASCOL,,CITY,PT,2020,80.0
2018,A,0,EN_REF_WASCOL,,CITY,PT,2020,84.5
2019,A,0,EN_REF_WASCOL,,CITY,PT,2020,84.9
2020,A,0,EN_REF_WASCOL,,CITY,PT,2020,86.5
