Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,Ratio de solvabilité bancaire (couverture des risques),,PT,2020,16.4
2016,A,0,Ratio de solvabilité bancaire (couverture des risques),,PT,2020,14.5
2017,A,0,Ratio de solvabilité bancaire (couverture des risques),,PT,2020,13.6
2018,A,0,Ratio de solvabilité bancaire (couverture des risques),,PT,2020,12.3
2019,A,0,Ratio de solvabilité bancaire (couverture des risques),,PT,2020,12.7
2020,A,0,Ratio de solvabilité bancaire (couverture des risques),,PT,2020,12.0
